nama_pelanggan	segmen	negara	kota	provinsi	kodepos	wilayah	ID_produk	Kategori_produk	sub_kategori_produk	nama_produk	Penjualan	jumlah	diskon	keuntungan
Darren Powers	Consumer	United States	Houston	Texas	77095	Central	OFF-PA-10000174	Office Supplies	Paper	Message Book, Wirebound, Four 5 1/2" X 4" Forms/Pg., 200 Dupl. Sets/Book	16.448	2	0.2	5.5512
Phillina Ober	Home Office	United States	Naperville	Illinois	60540	Central	OFF-BI-10004094	Office Supplies	Binders	GBC Standard Plastic Binding Systems Combs	3.54	2	0.8	-5.487
Phillina Ober	Home Office	United States	Naperville	Illinois	60540	Central	OFF-LA-10003223	Office Supplies	Labels	Avery 508	11.784	3	0.2	4.2717
Phillina Ober	Home Office	United States	Naperville	Illinois	60540	Central	OFF-ST-10002743	Office Supplies	Storage	SAFCO Boltless Steel Shelving	272.736	3	0.2	-64.7748
Mick Brown	Consumer	United States	Philadelphia	Pennsylvania	19143	East	OFF-AR-10003478	Office Supplies	Art	Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack	19.536	3	0.2	4.884
Maria Etezadi	Home Office	United States	Henderson	Kentucky	42420	South	FUR-CH-10004063	Furniture	Chairs	Global Deluxe High-Back Manager's Chair	2573.82	9	0	746.4078
Maria Etezadi	Home Office	United States	Henderson	Kentucky	42420	South	OFF-AR-10001662	Office Supplies	Art	Rogers Handheld Barrel Pencil Sharpener	5.48	2	0	1.4796
Jack O'Briant	Corporate	United States	Athens	Georgia	30605	South	OFF-AR-10002399	Office Supplies	Art	Dixon Prang Watercolor Pencils, 10-Color Set with Brush	12.78	3	0	5.2398
Maria Etezadi	Home Office	United States	Henderson	Kentucky	42420	South	OFF-BI-10004632	Office Supplies	Binders	Ibico Hi-Tech Manual Binding System	609.98	2	0	274.491
Maria Etezadi	Home Office	United States	Henderson	Kentucky	42420	South	OFF-FA-10001883	Office Supplies	Fasteners	Alliance Super-Size Bands, Assorted Sizes	31.12	4	0	0.3112
Maria Etezadi	Home Office	United States	Henderson	Kentucky	42420	South	OFF-PA-10000955	Office Supplies	Paper	Southworth 25% Cotton Granite Paper & Envelopes	6.54	1	0	3.0084
Lycoris Saunders	Consumer	United States	Los Angeles	California	90049	West	OFF-PA-10002005	Office Supplies	Paper	Xerox 225	19.44	3	0	9.3312
Maria Etezadi	Home Office	United States	Henderson	Kentucky	42420	South	TEC-PH-10004539	Technology	Phones	Wireless Extenders zBoost YX545 SOHO Signal Booster	755.96	4	0	204.1092
Maria Etezadi	Home Office	United States	Henderson	Kentucky	42420	South	TEC-PH-10004977	Technology	Phones	GE 30524EE4	391.98	2	0	113.6742
Vivek Sundaresam	Consumer	United States	Huntsville	Texas	77340	Central	FUR-FU-10004864	Furniture	Furnishings	Howard Miller 14-1/2" Diameter Chrome Round Wall Clock	76.728	3	0.6	-53.7096
Vivek Sundaresam	Consumer	United States	Huntsville	Texas	77340	Central	OFF-BI-10003708	Office Supplies	Binders	Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"	10.43	7	0.8	-18.2525
Melanie Seite	Consumer	United States	Laredo	Texas	78041	Central	OFF-AR-10004078	Office Supplies	Art	Newell 312	9.344	2	0.2	1.168
Melanie Seite	Consumer	United States	Laredo	Texas	78041	Central	TEC-AC-10001266	Technology	Accessories	Memorex Micro Travel Drive 8 GB	31.2	3	0.2	9.75
Anthony Jacobs	Corporate	United States	Springfield	Virginia	22153	South	FUR-FU-10000965	Furniture	Furnishings	Howard Miller 11-1/2" Diameter Ridgewood Wall Clock	51.94	1	0	21.2954
Anthony Jacobs	Corporate	United States	Springfield	Virginia	22153	South	OFF-LA-10004272	Office Supplies	Labels	Avery 482	2.89	1	0	1.3583
Seth Vernon	Consumer	United States	Dover	Delaware	19901	East	FUR-FU-10000010	Furniture	Furnishings	DAX Value U-Channel Document Frames, Easel Back	9.94	2	0	3.0814
Brian Dahlen	Consumer	United States	San Francisco	California	94109	West	FUR-BO-10003034	Furniture	Bookcases	O'Sullivan Elevations Bookcase, Cherry Finish	333.999	3	0.15	3.9294
Natalie DeCherney	Consumer	United States	Mount Pleasant	South Carolina	29464	South	FUR-CH-10000422	Furniture	Chairs	Global Highback Leather Tilter in Burgundy	545.94	6	0	87.3504
Brian Dahlen	Consumer	United States	San Francisco	California	94109	West	OFF-AR-10003514	Office Supplies	Art	4009 Highlighters by Sanford	19.9	5	0	6.567
Michael Moore	Consumer	United States	Newark	Ohio	43055	East	OFF-BI-10003476	Office Supplies	Binders	Avery Metallic Poly Binders	3.438	2	0.7	-2.5212
Chris Selesnick	Corporate	United States	Bossier City	Louisiana	71111	South	OFF-BI-10004187	Office Supplies	Binders	3-ring staple pack	5.64	3	0	2.7072
Chris Selesnick	Corporate	United States	Bossier City	Louisiana	71111	South	OFF-EN-10001532	Office Supplies	Envelopes	Brown Kraft Recycled Envelopes	50.94	3	0	25.47
Chris Selesnick	Corporate	United States	Bossier City	Louisiana	71111	South	OFF-EN-10001990	Office Supplies	Envelopes	Staple envelope	11.36	2	0	5.3392
Michael Moore	Consumer	United States	Newark	Ohio	43055	East	OFF-PA-10002947	Office Supplies	Paper	Xerox 1923	37.408	7	0.2	13.0928
Chris Selesnick	Corporate	United States	Bossier City	Louisiana	71111	South	OFF-ST-10000025	Office Supplies	Storage	Fellowes Stor/Drawer Steel Plus Storage Drawers	572.58	6	0	34.3548
Brian Dahlen	Consumer	United States	San Francisco	California	94109	West	OFF-ST-10000078	Office Supplies	Storage	Tennsco 6- and 18-Compartment Lockers	1325.85	5	0	238.653
Chris Selesnick	Corporate	United States	Bossier City	Louisiana	71111	South	TEC-AC-10003174	Technology	Accessories	Plantronics S12 Corded Telephone Headset System	646.74	6	0	258.696
